,Unnamed: 0,c/a,entropy,MagpieData mean AtomicWeight,MagpieData avg_dev AtomicWeight,MagpieData mean MeltingT,MagpieData avg_dev MeltingT,MagpieData mean Electronegativity,MagpieData avg_dev Electronegativity,MagpieData mean NsValence,MagpieData mean NpValence,MagpieData mean NfValence,MagpieData mean NValence,MagpieData mean NpUnfilled,MagpieData mean NdUnfilled,MagpieData mean NUnfilled,MagpieData avg_dev NUnfilled,MagpieData mean GSvolume_pa,MagpieData mean GSbandgap,MagpieData mean GSmagmom,MagpieData mean BoilingT,MagpieData avg_dev BoilingT,MagpieData mean Density,MagpieData avg_dev Density,MagpieData mean FirstIonizationEnergy,MagpieData avg_dev FirstIonizationEnergy,MagpieData mean HeatCapacityMolar,PymatgenData mean atomic_radius,avg_dev/mean atomic_radius
165,165,1.33,8.100452855,64.78721688,13.48069578,1496.76,247.92,1.78125,0.1734375,2,0.25,0,9.375,0.5,2.875,3.375,1.375,13.25346983,0,0.297813645,2827.625,370.21875,8169,739,7.5256475,0.1141525,26.27875,1.38125,0.022624434
166,166,1.3,8.100452855,64.30071688,12.62932078,1487.34375,264.3984375,1.75875,0.1565625,2,0.125,0,9.25,0.625,2.875,3.5,1.5,12.12534483,0,0.297813645,2761.375,424.625,8169,739,7.3309525,0.386148125,26.2475,1.39375,0.031390135
167,167,1.32,9.666686416,64.12269188,12.67382703,1492.53125,265.6953125,1.75375,0.1528125,2,0.125,0,9.125,0.625,3,3.625,1.421875,12.15096983,0,0.392517902,2758.125,421.375,8104.375,703.171875,7.347365,0.39025125,26.186875,1.396875,0.029362416
168,168,1.32,8.100452855,65.16846688,14.14788328,1546.5975,181.4025,1.7925,0.181875,2,0.375,0,9.5,0.375,2.875,3.25,1.3125,13.03784483,0,0.297813645,2700.75,485.25,8092.375,815.625,7.68370625,0.231170937,26.05875,1.38125,0.022624434
169,169,1.31,9.666686416,64.99044188,14.19238953,1551.785,186.59,1.7875,0.178125,2,0.375,0,9.375,0.375,3,3.375,1.296875,13.06346983,0,0.392517902,2697.5,482,8027.75,770.21875,7.70011875,0.252352969,25.998125,1.384375,0.021726862
170,170,1.28,8.644238489,60.51196125,4.605519375,1319.4775,508.28375,1.795,0.1225,2,0.25,0,10,1.25,2.25,3.5,1.5,12.49627155,0,0.29777488,2795.75,390.25,7797.5,1110.5,7.17823025,0.589464625,26.1225,1.35,0.018518519
171,171,1.28,9.813052087,60.24052375,4.198363125,1343.838125,471.7428125,1.785,0.134375,2,0.1875,0,9.9375,0.9375,2.25,3.1875,1.5859375,12.1901778,0,0.29777488,2714.6875,471.3125,7874.75,1033.25,7.390411375,0.521666391,26.0825,1.353125,0.017321016
172,172,1.26,10.0849449,59.96908625,3.791206875,1368.19875,435.201875,1.775,0.14375,2,0.125,0,9.875,0.625,2.25,2.875,1.59375,11.88408405,0,0.29777488,2633.625,552.375,7952,956,7.6025925,0.485109125,26.0425,1.35625,0.016129032
173,173,1.25,9.813052087,59.69764875,3.384050625,1392.559375,398.6609375,1.765,0.150625,2,0.0625,0,9.8125,0.3125,2.25,2.5625,1.5234375,11.5779903,0,0.29777488,2552.5625,633.4375,8029.25,878.75,7.814773625,0.592284516,26.0025,1.359375,0.014942529
174,174,1.23,8.644238489,59.42621125,2.976894375,1416.92,362.12,1.755,0.155,2,0,0,9.75,0,2.25,2.25,1.375,11.27189655,0,0.29777488,2471.5,714.5,8106.5,801.5,8.02695475,0.683622125,25.9625,1.3625,0.013761468
175,175,1.179,12.16394407,60.55804465,4.267594996,1365.475,447.356,1.8126,0.106132,1.93,0.21,0,9.99,1.05,2.15,3.27,1.4478,12.20184224,0,0.406687985,2867.63,377.5166,7969.16,1070.8376,7.28233651,0.538874914,25.8899,1.3505,0.01612736
176,176,1.176,12.18526735,60.57956454,4.270376036,1365.071925,447.1667876,1.813475,0.105532125,1.9275,0.21,0,10,1.05,2.1375,3.26,1.4477,12.20329828,0,0.40668721,2869.795,376.612925,7972.785,1071.441175,7.28306741,0.539181892,25.8852,1.350375,0.015985837
177,177,1.165,12.20561066,60.60108442,4.272941878,1364.66885,446.9735445,1.81435,0.1049235,1.925,0.21,0,10.01,1.05,2.125,3.25,1.4475,12.20475431,0,0.406686435,2871.96,375.6876,7976.41,1072.0085,7.28379831,0.53948887,25.8805,1.35025,0.015843362
178,178,1.186,12.22499452,60.62260431,4.27529252,1364.265775,446.7762706,1.815225,0.104306125,1.9225,0.21,0,10.02,1.05,2.1125,3.24,1.4472,12.20621034,0,0.406685659,2874.125,374.740625,7980.035,1072.539575,7.28452921,0.539795848,25.8758,1.350125,0.015699935
179,179,1.188,12.25720284,60.58762837,4.267520344,1365.398713,443.0354985,1.813465347,0.105783747,1.920792079,0.207920792,0,10,1.03960396,2.128712871,3.247524752,1.452602686,12.19063588,0,0.402661371,2870.920792,376.4505441,7978.574257,1068.251348,7.28673298,0.535367754,25.87554455,1.35049505,0.015969339
180,180,1.194,12.20766402,60.52715965,4.223120596,1370.7493,439.761008,1.81305,0.1064705,1.925,0.205,0,9.98,1.025,2.15,3.25,1.4475,12.16290474,0,0.406687985,2871.245,376.53845,7984.24,1063.004,7.290971905,0.529585071,25.88195,1.35075,0.016042939
181,181,1.202,12.24759658,60.49627465,4.178646196,1376.0236,432.166016,1.8135,0.1068,1.92,0.2,0,9.97,1,2.15,3.23,1.4468,12.12396724,0,0.406687985,2874.86,375.488,7999.32,1054.8688,7.2996073,0.52012252,25.874,1.351,0.015958549
182,182,1.211,12.28388996,60.46538965,4.134171796,1381.2979,424.571024,1.81395,0.1071205,1.915,0.195,0,9.96,0.975,2.15,3.21,1.4457,12.08502974,0,0.406687985,2878.475,374.36525,8014.4,1046.432,7.308242695,0.510487261,25.86605,1.35125,0.015874191
183,183,1.25,9.316553643,66.17945906,15.19954404,1454.554688,320.2514648,1.765,0.1478125,2,0.15625,0,9.40625,0.78125,2.75,3.53125,1.46875,12.55338901,0,0.327587595,2762.15625,424.71875,8163.75,743.75,7.287000938,0.468950293,26.22125,1.3984375,0.034636872
