,formula,c/a,composition,entropy,MagpieData mean Number,MagpieData avg_dev Number,MagpieData mean MendeleevNumber,MagpieData avg_dev MendeleevNumber,MagpieData mean AtomicWeight,MagpieData avg_dev AtomicWeight,MagpieData mean MeltingT,MagpieData avg_dev MeltingT,MagpieData mean Column,MagpieData avg_dev Column,MagpieData mean Row,MagpieData avg_dev Row,MagpieData mean CovalentRadius,MagpieData avg_dev CovalentRadius,avg_dev/mean CovalentRadius,MagpieData mean Electronegativity,MagpieData avg_dev Electronegativity,MagpieData mean NsValence,MagpieData avg_dev NsValence,MagpieData mean NpValence,MagpieData avg_dev NpValence,MagpieData mean NdValence,MagpieData avg_dev NdValence,MagpieData mean NfValence,MagpieData avg_dev NfValence,MagpieData mean NValence,MagpieData avg_dev NValence,MagpieData mean NsUnfilled,MagpieData avg_dev NsUnfilled,MagpieData mean NpUnfilled,MagpieData avg_dev NpUnfilled,MagpieData mean NdUnfilled,MagpieData avg_dev NdUnfilled,MagpieData mean NfUnfilled,MagpieData avg_dev NfUnfilled,MagpieData mean NUnfilled,MagpieData avg_dev NUnfilled,MagpieData mean GSvolume_pa,MagpieData avg_dev GSvolume_pa,MagpieData mean GSbandgap,MagpieData avg_dev GSbandgap,MagpieData mean GSmagmom,MagpieData avg_dev GSmagmom,MagpieData mean BoilingT,MagpieData avg_dev BoilingT,MagpieData mean Density,MagpieData avg_dev Density,MagpieData mean FirstIonizationEnergy,MagpieData avg_dev FirstIonizationEnergy,MagpieData mean HeatCapacityMolar,MagpieData avg_dev HeatCapacityMolar,MagpieData mean HeatFusion,MagpieData avg_dev HeatFusion,MagpieData mean SpaceGroupNumber,MagpieData avg_dev SpaceGroupNumber,PymatgenData mean atomic_radius,PymatgenData avg_dev atomic_radius,avg_dev/mean atomic_radius,PymatgenData mean average_ionic_radius,PymatgenData avg_dev average_ionic_radius,avg_dev/mean average_ionic_radius
61,Ni8Mn4Ga2Co2,1.287470926,Ni8 Mn4 Ga2 Co2,10.0849449,27.5,1.375,60,4.5,59.16323563,2.639941094,1502.61375,299.9259375,9.5,1.375,4,0,127.75,5.625,0.044031311,1.80375,0.126875,2,0,0.125,0.21875,7.375,1.28125,0,0,9.5,1.375,0,0,0.625,1.09375,2.625,1.28125,0,0,3.25,1.3125,11.41970905,1.859447737,0,0,0.49133378,0.368345275,2886.125,378.34375,8172,918,7.413443875,0.353535719,25.97,0.29,14.690625,3.16671875,199,35,1.35625,0.021875,0.016129032,0.723125,0.037395833,0.051714203
62,Ni8Mn4Ga1Co3,1.343402979,Ni8 Mn4 Ga1 Co3,9.813052087,27.25,1.21875,59,3.875,58.48887281,1.775413906,1594.181875,198.9999219,9.25,1.21875,4,0,128,5.5,0.04296875,1.808125,0.1290625,2,0,0.0625,0.1171875,7.1875,1.1640625,0,0,9.25,1.21875,0,0,0.3125,0.5859375,2.8125,1.1640625,0,0,3.125,1.171875,10.8814278,0.997009025,0,0,0.58811323,0.367415709,2931.3125,355.4453125,8359.25,751.53125,7.531050688,0.239984055,25.89375,0.40640625,15.3540625,2.443164062,207.125,22.8125,1.359375,0.0203125,0.014942529,0.723645833,0.03765625,0.05203685
63,Ni8Mn4Co4,1.401105437,Ni8 Mn4 Co4,8.644238489,27,1,58,3,57.81451,1.4382325,1685.75,83.375,9,1,4,0,128.25,5.375,0.041910331,1.8125,0.13125,2,0,0,0,7,1,0,0,9,1,0,0,0,0,3,1,0,0,3,1,10.34314655,0.072219828,0,0,0.68489268,0.43178926,2976.5,321.25,8546.5,538.25,7.6486575,0.11617625,25.8175,0.50375,16.0175,1.55375,215.25,10.625,1.3625,0.01875,0.013761468,0.724166667,0.037916667,0.052359034
64,Ni8Mn4Ga3Rh1,1.254253862,Ni8 Mn4 Ga3 Rh1,9.813052087,28.875,2.8125,61.0625,4.8515625,62.5858675,7.71637875,1440.358125,426.5430469,9.75,1.46875,4.0625,0.1171875,128.5,6.9375,0.053988327,1.824375,0.142578125,1.9375,0.1171875,0.1875,0.3046875,7.625,1.3125,0,0,9.75,1.46875,0.0625,0.1171875,0.9375,1.5234375,2.375,1.3125,0,0,3.375,1.421875,12.1701778,2.691473599,0,0,0.29777488,0.29761982,2888.9375,431.9453125,8206.625,1231.796875,7.269455188,0.47630782,26.056875,0.1446875,14.6765625,4.292617188,192.8125,48.3046875,1.353125,0.0234375,0.017321016,0.721145833,0.03640625,0.050483894
65,Ni8Mn4Ga2Rh2,1.317140054,Ni8 Mn4 Ga2 Rh2,10.0849449,29.75,4.125,60.125,4.34375,64.65977375,10.82723813,1561.23875,335.7015625,9.5,1.375,4.125,0.21875,129.75,7.6875,0.059248555,1.85375,0.1628125,1.875,0.21875,0.125,0.21875,7.5,1.25,0,0,9.5,1.375,0.125,0.21875,0.625,1.09375,2.5,1.25,0,0,3.25,1.3125,11.84408405,2.202332974,0,0,0.29777488,0.29761982,2982.125,450.34375,8615.75,1250.8125,7.360680125,0.340344781,25.99125,0.2528125,15.989375,4.14078125,202.875,34.71875,1.35625,0.021875,0.016129032,0.720208333,0.0359375,0.049898756
66,Ni8Mn4Ga1Rh3,1.362673896,Ni8 Mn4 Ga1 Rh3,9.813052087,30.625,5.4375,59.1875,3.6640625,66.73368,13.9380975,1682.119375,253.9608594,9.25,1.21875,4.1875,0.3046875,131,8.125,0.062022901,1.883125,0.175703125,1.8125,0.3046875,0.0625,0.1171875,7.375,1.1875,0,0,9.25,1.21875,0.1875,0.3046875,0.3125,0.5859375,2.625,1.1875,0,0,3.125,1.171875,11.5179903,1.713192349,0,0,0.29777488,0.29761982,3075.3125,445.4453125,9024.875,1284.421875,7.451905063,0.190518039,25.925625,0.354609375,17.3021875,3.660742187,212.9375,18.6171875,1.359375,0.0203125,0.014942529,0.719270833,0.03546875,0.049312093
67,Ni8Mn4Rh4,1.395100999,Ni8 Mn4 Rh4,8.644238489,31.5,6.75,58.25,3.125,68.80758625,17.04895688,1803,217,9,1,4.25,0.375,132.25,8.25,0.062381853,1.9125,0.18375,1.75,0.375,0,0,7.25,1.125,0,0,9,1,0.25,0.375,0,0,2.75,1.125,0,0,3,1,11.19189655,1.224051724,0,0,0.29777488,0.29761982,3168.5,417.25,9434,1508,7.54313,0.09667,25.86,0.44,18.615,3.9875,223,3,1.3625,0.01875,0.013761468,0.718333333,0.035,0.048723898
68,Ni8Mn4Ga3Ni1,1.285851347,Ni9 Mn4 Ga3,8.181695187,27.8125,1.40625,61.1875,4.8046875,59.82261125,3.712645781,1408.545625,414.6133594,9.8125,1.40625,4,0,127.375,5.8125,0.045632974,1.80125,0.125625,2,0,0.1875,0.3046875,7.625,1.3125,0,0,9.8125,1.40625,0,0,0.9375,1.5234375,2.375,1.3125,0,0,3.3125,1.4765625,11.9626778,2.585558324,0,0,0.334987049,0.292958607,2840.0625,389.1796875,7985.25,1038.09375,7.280761438,0.480547664,26.125,0.0975,14.1071875,3.794414063,192.8125,48.3046875,1.353125,0.0234375,0.017321016,0.720833333,0.03625,0.050289017
69,Ni8Mn4Ga2Ni2,1.321668708,Ni10 Mn4 Ga2,7.48472881,27.625,1.3125,60.375,4.1875,59.13326125,2.647434687,1497.61375,298.6759375,9.625,1.3125,4,0,127.5,5.75,0.045098039,1.8075,0.12875,2,0,0.125,0.21875,7.5,1.25,0,0,9.625,1.3125,0,0,0.625,1.09375,2.5,1.25,0,0,3.125,1.40625,11.42908405,1.857103987,0,0,0.372199218,0.278994353,2884.375,377.03125,8173,918.75,7.383292625,0.345997906,26.1275,0.09625,14.850625,3.28671875,202.875,34.71875,1.35625,0.021875,0.016129032,0.719583333,0.035625,0.049507817
70,Ni8Mn4Ga1Ni3,1.375903641,Ni11 Mn4 Ga1,6.463820165,27.4375,1.21875,59.5625,3.78125,58.44391125,1.752933125,1586.681875,194.3124219,9.4375,1.21875,4,0,127.625,5.6875,0.044564153,1.81375,0.13234375,2,0,0.0625,0.1171875,7.375,1.1875,0,0,9.4375,1.21875,0,0,0.3125,0.5859375,2.625,1.1875,0,0,2.9375,1.2890625,10.8954903,0.995251212,0,0,0.409411386,0.255727056,2928.6875,353.8046875,8360.75,752.46875,7.485823813,0.211717258,26.13,0.095,15.5940625,2.593164062,212.9375,18.6171875,1.359375,0.0203125,0.014942529,0.718333333,0.035,0.048723898
